太阳能,000591,5.9,6.1,6.1,6.3,5.8,5.4
平潭发展,000592,3.3,1.8,2.8,1.1,6.0,5.8
大通燃气,000593,4.1,1.5,5.2,4.7,4.6,5.8
宝塔实业,000595,3.2,1.8,3.5,1.5,6.5,4.4
古井贡酒,000596,7.1,8.2,6.4,5.0,7.2,7.7
东北制药,000597,3.9,1.8,2.9,5.5,5.6,5.6
兴蓉环境,000598,6.0,6.8,3.9,5.8,5.6,6.8
青岛双星,000599,5.6,7.0,4.2,4.6,7.3,4.8
建投能源,000600,5.4,5.0,4.4,5.8,5.8,6.4
韶能股份,000601,3.9,1.4,2.2,5.5,5.8,6.4
盛达资源,000603,4.3,2.0,4.0,4.8,5.3,6.6
渤海股份,000605,4.1,2.2,4.2,5.5,5.6,4.8
顺利办,000606,4.6,3.8,3.8,2.8,6.2,6.8
华媒控股,000607,5.1,6.6,3.1,2.8,5.8,6.0
阳光股份,000608,6.1,8.2,4.6,5.9,5.4,5.0
中迪投资,000609,3.7,1.5,3.6,5.8,5.4,4.5
西安旅游,000610,5.5,7.8,2.0,4.6,5.7,5.8
*ST天首,000611,4.4,3.8,3.8,2.0,6.1,6.2
焦作万方,000612,4.8,2.6,5.5,6.2,5.3,5.9
大东海A,000613,5.1,4.2,4.3,4.3,7.4,6.2
京汉股份,000615,4.0,1.8,4.5,4.4,5.4,5.6
海航投资,000616,4.6,4.4,3.1,7.0,5.4,4.1
中油资本,000617,6.1,5.1,6.6,7.7,5.3,6.1
海螺型材,000619,3.9,1.8,3.3,4.4,7.4,5.0
新华联,000620,4.0,1.4,6.1,3.9,4.4,5.4
恒立实业,000622,3.9,1.8,1.7,6.9,5.1,5.8
吉林敖东,000623,4.7,5.8,2.2,5.9,5.6,4.4
长安汽车,000625,5.0,4.4,3.8,6.3,5.3,5.8
远大控股,000626,5.0,3.4,4.9,5.2,6.7,6.3
天茂集团,000627,6.5,6.6,7.3,6.0,5.3,6.5
高新发展,000628,4.9,4.0,4.4,3.8,7.1,6.3
攀钢钒钛,000629,3.7,1.8,3.5,5.2,4.5,5.0
铜陵有色,000630,4.9,4.8,3.5,5.0,5.3,6.1
顺发恒业,000631,5.7,7.8,4.7,4.1,5.4,5.1
三木集团,000632,3.7,1.4,3.0,5.5,4.4,5.8
合金投资,000633,3.9,2.6,3.7,4.3,5.3,4.8
英力特,000635,3.8,1.4,3.6,5.1,6.2,5.1
风华高科,000636,5.6,7.8,1.4,5.1,6.5,6.1
茂化实华,000637,5.7,7.1,3.6,4.7,6.2,5.9
万方发展,000638,4.0,1.8,3.0,6.1,7.8,4.5
西王食品,000639,4.1,2.6,3.5,4.8,7.0,4.9
仁和药业,000650,4.3,3.8,2.0,5.0,6.2,5.6
格力电器,000651,5.4,6.1,2.8,2.8,6.2,7.8
泰达股份,000652,4.0,1.8,2.6,7.2,4.3,5.9
金岭矿业,000655,4.5,3.9,2.7,7.0,5.5,4.7
金科股份,000656,5.3,3.8,4.5,5.6,5.4,7.7
中钨高新,000657,5.7,6.3,5.8,5.5,5.3,5.0
珠海中富,000659,4.1,3.8,3.9,1.8,6.0,5.4
长春高新,000661,6.5,7.1,4.2,5.9,7.6,7.5
天夏智慧,000662,4.4,2.6,3.6,5.2,6.2,5.8
永安林业,000663,3.6,1.8,3.2,3.3,5.5,5.6
湖北广电,000665,3.9,1.4,4.0,5.5,5.3,5.3
经纬纺机,000666,3.6,2.2,3.6,4.2,5.3,4.3
美好置业,000667,5.4,8.4,4.5,1.1,5.4,5.2
荣丰控股,000668,5.0,4.9,3.8,4.1,5.4,6.3
金鸿控股,000669,3.1,1.4,3.5,2.2,4.6,4.9
*ST盈方,000670,4.7,5.0,3.2,4.9,6.5,4.8
阳光城,000671,4.8,2.3,4.4,5.9,5.4,7.4
上峰水泥,000672,6.5,7.8,3.2,6.2,7.4,7.4
当代东方,000673,4.0,3.8,2.4,3.8,5.8,5.1
智度股份,000676,5.0,5.1,3.3,4.5,5.8,6.3
恒天海龙,000677,5.7,5.8,3.5,7.0,7.3,6.1
襄阳轴承,000678,3.9,1.8,3.1,5.8,6.1,5.1
大连友谊,000679,3.6,1.8,3.2,3.1,6.0,5.4
山推股份,000680,6.0,7.8,2.6,6.0,6.4,6.4
视觉中国,000681,6.6,7.3,6.2,5.5,5.8,7.2
东方电子,000682,6.2,7.8,3.8,6.5,6.8,5.9
远兴能源,000683,4.1,1.8,4.1,4.5,6.2,5.6
中山公用,000685,5.6,5.1,5.4,7.0,5.6,5.7
东北证券,000686,4.3,2.1,2.7,6.8,5.2,6.4
华讯方舟,000687,4.4,3.8,3.3,5.3,6.8,4.5
国城矿业,000688,5.5,5.0,5.8,5.4,5.3,5.9
宝新能源,000690,5.8,7.0,3.5,6.0,5.8,6.1
亚太实业,000691,5.8,8.6,4.0,5.9,4.4,4.2
惠天热电,000692,3.8,1.8,3.7,4.2,5.8,5.2
滨海能源,000695,4.1,1.8,4.2,4.0,6.0,6.0
炼石航空,000697,5.1,3.8,3.2,6.6,6.8,6.7
沈阳化工,000698,5.4,6.3,4.0,5.2,6.2,5.2
模塑科技,000700,4.4,3.8,2.0,4.5,6.1,6.5
厦门信达,000701,4.5,3.8,3.6,5.3,5.7,5.3
正虹科技,000702,4.0,2.6,2.3,6.5,7.3,4.4
恒逸石化,000703,6.7,6.5,6.5,7.9,6.3,6.7
浙江震元,000705,4.0,1.8,1.7,6.4,6.4,5.9
ST双环,000707,4.1,2.6,3.7,4.8,6.2,5.0
中信特钢,000708,6.9,9.0,4.9,6.2,4.8,7.3
河钢股份,000709,4.5,4.3,2.8,5.2,4.8,5.7
贝瑞基因,000710,6.5,7.6,6.1,4.9,6.8,6.5
京蓝科技,000711,3.8,1.4,4.9,3.4,5.5,5.2
锦龙股份,000712,4.3,2.4,4.0,4.0,5.2,6.5
丰乐种业,000713,6.7,7.8,5.5,5.9,6.0,7.1
中兴商业,000715,4.8,1.8,6.6,5.0,6.0,6.3
黑芝麻,000716,4.1,2.7,2.9,4.5,7.0,5.3
韶钢松山,000717,4.6,3.8,2.4,5.3,4.8,6.7
苏宁环球,000718,6.4,7.8,4.5,6.1,5.4,6.8
中原传媒,000719,5.6,4.9,6.1,5.5,5.8,6.1
新能泰山,000720,4.4,3.4,2.9,4.3,5.4,6.5
西安饮食,000721,4.5,4.1,2.1,5.5,7.4,5.2
湖南发展,000722,5.4,6.0,4.7,6.4,4.8,4.7
美锦能源,000723,5.8,6.9,4.0,4.9,5.4,6.6
京东方A,000725,4.8,4.6,1.8,5.5,5.2,6.7
鲁泰A,000726,3.8,1.8,1.6,5.6,6.1,5.8
*ST东科,000727,4.0,1.8,5.0,4.4,5.2,5.2
国元证券,000728,4.1,2.4,3.3,6.3,5.2,4.9
燕京啤酒,000729,5.8,6.2,5.0,5.0,7.2,5.9
四川美丰,000731,4.9,6.9,1.5,3.8,6.6,5.3
泰禾集团,000732,4.4,1.8,4.2,5.5,5.4,6.5
振华科技,000733,4.8,4.6,1.8,5.9,6.5,5.9
罗牛山,000735,4.7,4.8,3.4,6.7,5.1,4.3
中交地产,000736,4.2,1.8,4.9,5.6,5.4,5.0
ST南风,000737,5.9,7.2,4.1,5.8,6.2,5.9
航发控制,000738,6.0,6.6,5.0,6.1,6.8,5.8
普洛药业,000739,4.8,2.6,3.5,5.9,5.6,7.3
国海证券,000750,4.4,2.5,2.4,6.2,5.2,6.9
锌业股份,000751,4.4,2.8,3.1,5.8,5.3,6.3
*ST西发,000752,4.0,4.2,2.9,1.9,7.2,4.6
漳州发展,000753,4.5,2.7,4.4,5.5,5.0,6.0
山西路桥,000755,4.5,2.2,4.1,5.9,5.9,6.3
新华制药,000756,4.9,2.6,4.7,5.8,5.6,7.1
浩物股份,000757,4.2,2.6,3.4,3.5,6.1,6.4
中色股份,000758,3.7,1.8,2.4,5.5,5.3,5.1
中百集团,000759,4.2,1.8,4.7,3.4,6.0,6.3
*ST斯太,000760,6.2,7.8,4.1,7.0,6.1,5.4
本钢板材,000761,4.9,3.8,6.0,5.2,4.8,5.2
西藏矿业,000762,4.8,4.6,4.5,5.4,5.3,4.6
通化金马,000766,4.2,4.1,2.2,5.3,5.6,4.6
漳泽电力,000767,6.0,7.8,3.9,5.9,5.8,5.7
中航飞机,000768,5.9,6.8,3.2,5.9,6.8,6.7
广发证券,000776,5.3,4.7,4.6,6.1,5.2,6.2
中核科技,000777,5.4,5.8,3.7,5.0,6.5,6.2
新兴铸管,000778,5.0,4.9,2.8,6.8,4.8,5.7
甘咨询,000779,5.6,7.4,2.3,5.6,7.1,5.3
平庄能源,000780,4.2,1.4,4.6,7.6,5.4,4.8
美达股份,000782,5.5,6.6,4.4,3.3,7.3,5.6
长江证券,000783,4.7,2.3,3.9,7.0,5.2,6.5
居然之家,000785,4.1,1.8,2.4,6.3,6.0,6.0
北新建材,000786,5.5,6.8,3.1,4.1,7.4,5.9
北大医药,000788,5.9,8.0,3.5,5.5,5.6,5.5
万年青,000789,6.2,7.6,2.3,6.1,7.4,7.3
华神科技,000790,4.2,2.6,2.2,6.2,6.2,5.8
