id,name,area,dazhihui,eastmoney,jinrongjie,jinrongjie_score,tonghuashun
000559,万向钱潮,SZ,6.9,68.01,20.18,60.16,4.5
000560,我爱我家,SZ,7.0,71.87,24.38,57.71,6.3
000561,烽火电子,SZ,6.1,64.31,20.59,60.68,4.3
000563,陕国投A,SZ,7.8,73.27,20.12,58.77,5.7
000564,供销大集,SZ,5.8,47.96,20.0,56.51,6.1
000565,渝三峡A,SZ,6.9,63.52,20.19,71.93,4.5
000566,海南海药,SZ,6.7,51.18,34.6,54.60,4.0
000567,海德股份,SZ,6.5,62.01,20.08,68.09,4.5
000568,泸州老窖,SZ,7.8,75.15,76.54,46.67,6.0
000570,苏常柴A,SZ,6.5,61.59,68.05,71.41,6.0
000571,*ST大洲,SZ,6.7,67.64,20.66,62.02,5.5
000572,*ST海马,SZ,6.3,58.32,20.46,59.60,4.4
000573,粤宏远A,SZ,6.8,65.9,20.0,66.42,5.5
000576,广东甘化,SZ,7.7,67.24,23.58,66.48,5.2
000581,威孚高科,SZ,7.6,71.13,88.35,55.58,6.5
000582,北部湾港,SZ,7.2,74.59,31.94,72.28,6.8
000584,哈工智能,SZ,6.0,62,21.43,68.18,4.5
000585,*ST东电,SZ,5.7,48.85,20.46,57.91,3.9
000586,汇源通信,SZ,4.6,59.52,20.86,74.30,4.4
000587,*ST金洲,SZ,5.6,43.67,20.99,47.73,4.0
000589,贵州轮胎,SZ,6.7,66.33,20.0,63.39,5.4
000590,启迪古汉,SZ,5.7,58.47,22.05,62.79,4.2
000591,太阳能,SZ,7.4,72.12,25.44,51.56,5.6
000592,平潭发展,SZ,6.9,60.9,20.17,64.54,4.3
000593,大通燃气,SZ,6.4,58.17,21.13,70.79,5.2
000595,*ST宝实,SZ,5.6,45.8,20.21,54.94,3.9
000596,古井贡酒,SZ,7.1,73.43,72.48,60.58,7.1
000597,东北制药,SZ,6.1,61.18,20.54,58.99,4.8
000598,兴蓉环境,SZ,7.3,72.51,77.99,70.75,5.1
000599,青岛双星,SZ,6.1,57.59,20.02,63.89,4.2
000600,建投能源,SZ,8.0,70.91,56.2,56.83,6.7
000601,韶能股份,SZ,6.1,62.92,43.86,52.64,4.8
000603,盛达资源,SZ,6.6,67.14,20.64,62.82,4.6
000605,渤海股份,SZ,5.5,59.55,20.98,80.28,5.0
000606,顺利办,SZ,6.1,54.95,21.52,58.21,4.8
000607,华媒控股,SZ,6.9,59.77,88.71,64.65,4.8
