stock_name,stock_id,totalscore,score_tech,score_money,score_news,score_industry,score_basic新媒股份,300770,6.2,6.6,7.1,6.1,1.8,7.0
东湖高新,600133,5.4,5.4,5.2,5.7,5.1,5.7
乐凯胶片,600135,4.4,3.5,3.4,5.5,6.5,4.6
当代明诚,600136,6.4,6.8,6.8,5.6,5.2,6.7
浪莎股份,600137,5.2,5.8,5.3,5.5,6.0,4.1
中青旅,600138,4.9,3.6,3.2,5.9,5.4,7.1
西部资源,600139,4.4,3.4,3.2,5.3,6.1,5.5
兴发集团,600141,5.3,5.3,3.7,5.9,6.4,5.7
金发科技,600143,4.7,3.4,2.9,5.5,6.3,6.6
*ST新亿,600145,5.8,7.8,3.4,5.5,6.0,5.6
商赢环球,600146,6.1,8.0,5.4,5.0,6.0,5.1
长春一东,600148,5.2,5.0,3.6,5.5,6.2,6.3
ST坊展,600149,4.0,3.5,2.5,5.5,6.1,4.2
中国船舶,600150,4.3,3.3,2.6,5.5,4.8,5.8
航天机电,600151,4.7,4.5,2.7,5.5,5.2,5.8
维科技术,600152,5.0,4.5,4.4,5.0,5.4,5.8
建发股份,600153,4.7,3.3,4.3,5.5,6.5,5.6
华创阳安,600155,4.7,4.0,4.2,5.8,5.4,4.8
华升股份,600156,5.0,4.2,4.2,5.5,6.5,5.7
永泰能源,600157,5.1,5.3,3.2,5.6,6.0,5.9
中体产业,600158,4.7,4.8,3.6,5.5,5.5,4.8
大龙地产,600159,5.3,5.3,3.9,5.5,6.5,5.7
巨化股份,600160,5.2,5.9,3.0,5.6,6.4,5.4
天坛生物,600161,6.8,8.0,5.7,6.3,6.4,6.7
香江控股,600162,6.2,6.3,6.2,5.6,6.5,6.4
中闽能源,600163,4.8,2.8,5.4,5.5,6.2,5.7
新日恒力,600165,5.3,5.6,4.8,5.6,6.4,4.7
福田汽车,600166,5.7,5.0,5.3,5.5,5.6,7.1
联美控股,600167,5.8,4.2,8.2,5.9,6.2,5.5
武汉控股,600168,5.9,5.7,6.2,5.5,6.8,5.7
太原重工,600169,4.6,3.5,3.6,5.5,6.3,5.4
上海建工,600170,5.7,5.0,5.3,5.9,6.1,6.6
上海贝岭,600171,4.7,4.0,3.0,7.9,5.4,4.7
黄河旋风,600172,4.5,4.5,2.6,4.9,6.6,4.9
卧龙地产,600173,6.0,7.8,3.8,5.5,6.5,5.6
